256																																																																																																																																																																																																																																																															
8700																																																																																																																																																																																																																																																															
0	300	300	180	300	180	128	180	180	128	100	128	180	128	100	81	100	128	128	100	81	69	81	100	128	100	81	69	60	69	81	100	100	81	69	60	52	60	69	81	100	81	69	60	52	47	52	60	69	81	81	69	60	52	47	42	47	52	60	69	81	69	60	52	47	42	39	42	47	52	60	69	69	60	52	47	42	39	36	39	42	47	52	60	69	60	52	47	42	39	36	33	36	39	42	47	52	60	60	52	47	42	39	36	33	31	33	36	39	42	47	52	60	52	47	42	39	36	33	31	29	31	33	36	39	42	47	52	52	47	42	39	36	33	31	29	29	31	33	36	39	42	47	52	47	42	39	36	33	31	29	29	31	33	36	39	42	47	47	42	39	36	33	31	29	29	31	33	36	39	42	47	42	39	36	33	31	29	29	31	33	36	39	42	42	39	36	33	31	29	29	31	33	36	39	42	39	36	33	31	29	29	31	33	36	39	39	36	33	31	29	29	31	33	36	39	36	33	31	29	29	31	33	36	36	33	31	29	29	31	33	36	33	31	29	29	31	33	33	31	29	29	31	33	31	29	29	31	31	29	29	31	29	29	29	29
0	-150																																																																																																																																																																																																																																																														
-10	-140																																																																																																																																																																																																																																																														
10	-140																																																																																																																																																																																																																																																														
-20	-130																																																																																																																																																																																																																																																														
0	-130																																																																																																																																																																																																																																																														
20	-130																																																																																																																																																																																																																																																														
-30	-120																																																																																																																																																																																																																																																														
-10	-120																																																																																																																																																																																																																																																														
10	-120																																																																																																																																																																																																																																																														
30	-120																																																																																																																																																																																																																																																														
-40	-110																																																																																																																																																																																																																																																														
-20	-110																																																																																																																																																																																																																																																														
0	-110																																																																																																																																																																																																																																																														
20	-110																																																																																																																																																																																																																																																														
40	-110																																																																																																																																																																																																																																																														
-50	-100																																																																																																																																																																																																																																																														
-30	-100																																																																																																																																																																																																																																																														
-10	-100																																																																																																																																																																																																																																																														
10	-100																																																																																																																																																																																																																																																														
30	-100																																																																																																																																																																																																																																																														
50	-100																																																																																																																																																																																																																																																														
-60	-90																																																																																																																																																																																																																																																														
-40	-90																																																																																																																																																																																																																																																														
-20	-90																																																																																																																																																																																																																																																														
0	-90																																																																																																																																																																																																																																																														
20	-90																																																																																																																																																																																																																																																														
40	-90																																																																																																																																																																																																																																																														
60	-90																																																																																																																																																																																																																																																														
-70	-80																																																																																																																																																																																																																																																														
-50	-80																																																																																																																																																																																																																																																														
-30	-80																																																																																																																																																																																																																																																														
-10	-80																																																																																																																																																																																																																																																														
